19/07/2004 06:09:15 p.m. /TELEPLOC a x:53 Y:60 Map:140
19/07/2004 06:09:16 p.m. /TELEPLOC a x:53 Y:54 Map:140
19/07/2004 06:09:17 p.m. /TELEPLOC a x:52 Y:48 Map:140
19/07/2004 06:09:19 p.m. /TELEPLOC a x:52 Y:42 Map:140
19/07/2004 06:09:19 p.m. /TELEPLOC a x:52 Y:42 Map:140
19/07/2004 06:09:20 p.m. /TELEPLOC a x:52 Y:36 Map:140
19/07/2004 06:09:21 p.m. /TELEPLOC a x:52 Y:30 Map:140
19/07/2004 06:09:21 p.m. /TELEPLOC a x:52 Y:24 Map:140
19/07/2004 06:09:25 p.m. /TELEPLOC a x:57 Y:22 Map:140
19/07/2004 06:09:26 p.m. /TELEPLOC a x:56 Y:24 Map:140
19/07/2004 06:09:26 p.m. /TELEPLOC a x:56 Y:24 Map:140
19/07/2004 06:09:26 p.m. /TELEPLOC a x:60 Y:25 Map:140
19/07/2004 06:09:27 p.m. /TELEPLOC a x:60 Y:25 Map:140
19/07/2004 06:09:27 p.m. /TELEPLOC a x:60 Y:25 Map:140
19/07/2004 06:09:27 p.m. /TELEPLOC a x:53 Y:26 Map:140
19/07/2004 06:09:27 p.m. /TELEPLOC a x:53 Y:26 Map:140
19/07/2004 06:09:28 p.m. /TELEPLOC a x:54 Y:25 Map:140
19/07/2004 06:09:28 p.m. /TELEPLOC a x:54 Y:24 Map:140
19/07/2004 06:09:28 p.m. /TELEPLOC a x:54 Y:25 Map:140
19/07/2004 06:10:33 p.m. /TELEPLOC a x:55 Y:26 Map:140
19/07/2004 06:13:18 p.m. Transporto a Wag hacia Mapa1 X:58 Y:58
03/08/2004 10:15:53 p.m. Se conecto con ip:200.82.76.78
03/08/2004 10:16:11 p.m. /TELEPLOC a x:63 Y:57 Map:1
03/08/2004 10:16:54 p.m. /IRA tkv Mapa:37 X:79 Y:34
03/08/2004 10:18:44 p.m. /IRA DiegoEzequiel Mapa:1 X:59 Y:44
03/08/2004 10:24:06 p.m. /IRA tkv Mapa:1 X:62 Y:43
03/08/2004 10:25:33 p.m. Se conecto con ip:200.82.76.78
04/08/2004 08:20:57 p.m. Se conecto con ip:200.82.76.78
04/08/2004 08:21:24 p.m. Mensaje a Gms:un bug a solucionar: que no cuenten los editramientos a los pjs mismios
04/08/2004 08:24:21 p.m. Se conecto con ip:200.82.76.78
07/08/2004 01:05:00 p.m. Se conecto con ip:200.82.77.99
07/08/2004 01:05:10 p.m. Hizo el objeto: 12(ObjIndex)
